M_SITIO;M_FECHA_DIA;FIESTA;PAYLOAD_4G;THROUGHPUT_4G;OBJETIVOCOBERTURA_Mixta Rural-Carretera;OBJETIVOCOBERTURA_Mixta Urbana-Carretera;OBJETIVOCOBERTURA_Rural;OBJETIVOCOBERTURA_Urbana;TIPO_Calidad;TIPO_Cobertura;TIPO_Reubicacion;TIPO_Trafico
d5a15865-7b2e-4261-af83-2117ec105843;27/06/2021;0;450.2;9718.53;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;28/06/2021;0;474.1;9994.41;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;29/06/2021;0;529.77;11455.41;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;30/06/2021;0;544.23;11802.29;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;1/07/2021;0;543.14;11915.54;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;2/07/2021;0;555.64;11975.81;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;3/07/2021;0;516.96;11388.16;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;4/07/2021;0;525.77;12029.61;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;5/07/2021;0;438.51;11542.41;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;6/07/2021;0;514.44;11447.66;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;7/07/2021;0;533.39;11529.44;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;8/07/2021;0;558.05;11971.48;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;9/07/2021;0;598.7;12368.99;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;10/07/2021;0;584.86;11329.3;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;11/07/2021;0;573.24;11685.61;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;12/07/2021;0;550.52;11392.53;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;13/07/2021;0;567.35;11754.58;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;14/07/2021;0;587.09;11879.98;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;15/07/2021;0;602.73;11971.56;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;16/07/2021;0;571.51;11946.9;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;17/07/2021;0;583.88;12548.65;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;18/07/2021;0;578.52;12251.78;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;19/07/2021;0;567.55;11835.51;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;20/07/2021;0;607.42;12768.04;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;21/07/2021;0;617.32;12209.55;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;22/07/2021;0;653.15;12368.57;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;23/07/2021;0;644.59;12229.02;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;24/07/2021;0;665.95;12475.53;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;25/07/2021;0;594.4;12495.75;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;26/07/2021;0;561.7;11289.44;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;27/07/2021;0;611.8;11792.21;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;28/07/2021;0;607.98;13089.34;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;29/07/2021;0;606.18;10947.28;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;30/07/2021;0;618.02;11535.34;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;31/07/2021;0;571.41;11473.36;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;1/08/2021;0;530.08;11325.82;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;2/08/2021;0;528.41;11197.34;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;3/08/2021;0;666.4;13701.54;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;4/08/2021;0;627.37;13270.97;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;5/08/2021;0;646.66;13475.07;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;6/08/2021;0;693.93;13871.45;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;7/08/2021;0;682.21;14343.62;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;8/08/2021;0;672.23;14261.11;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;9/08/2021;0;651.93;13331.49;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;10/08/2021;0;643.96;13057.49;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;11/08/2021;0;627.6;13287.66;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;12/08/2021;0;582.88;13166.95;False;False;True;False;False;False;False;True
d5a15865-7b2e-4261-af83-2117ec105843;13/08/2021;0;586.39;12555.99;False;False;True;False;False;False;False;True
