"M_FECHA_DIA","PAYLOAD_4G","FIESTA","PAYLOAD_4G_smoo_mean","PAYLOAD_4G_smoothed","year"
2022-09-29,1494.37,0,1494.37,1494.37,2022
2022-09-30,1556.24,0,1556.24,1556.24,2022
2022-10-01,1590.28,0,1590.28,1590.28,2022
2022-10-02,1415.65,0,1415.65,1415.65,2022
2022-10-03,1527.23,0,1527.23,1527.23,2022
2022-10-04,1553.09,0,1553.09,1553.09,2022
2022-10-05,1525.18,0,1525.18,1525.18,2022
2022-10-06,1530.75,0,1530.75,1530.75,2022
2022-10-07,1639.49,0,1639.49,1639.49,2022
2022-10-08,1702.64,0,1702.64,1702.64,2022
2022-10-09,1480.79,0,1480.79,1480.79,2022
2022-10-10,1644.87,0,1644.87,1644.87,2022
2022-10-11,1673.84,0,1673.84,1673.84,2022
2022-10-12,1731.64,1,1731.64,1731.64,2022
2022-10-13,1902.47,1,1902.47,1902.47,2022
2022-10-14,2081.58,1,2081.58,2081.58,2022
2022-10-15,2130.38,1,2130.38,2130.38,2022
2022-10-16,2160.3,1,2160.3,2160.3,2022
2022-10-17,1848.48,1,1848.48,1848.48,2022
2022-10-18,1596.84,0,1596.84,1596.84,2022
2022-10-19,1545.63,0,1545.63,1545.63,2022
2022-10-20,1562.41,0,1562.41,1562.41,2022
2022-10-21,1572.96,0,1572.96,1572.96,2022
2022-10-22,1614.2,0,1614.2,1614.2,2022
2022-10-23,929.66,0,1531.28933333333,1549.82,2022
2022-10-24,1214.77,0,1214.77,1214.77,2022
2022-10-25,1537.8,0,1537.8,1537.8,2022
2022-10-26,1335.04,0,1335.04,1335.04,2022
2022-10-27,1549.82,0,1549.82,1549.82,2022
2022-10-28,1543.65,0,1543.65,1543.65,2022
2022-10-29,1567.31,0,1567.31,1567.31,2022
2022-10-30,1390.47,0,1390.47,1390.47,2022
2022-10-31,1462.24,0,1462.24,1462.24,2022
2022-11-01,1442.52,0,1442.52,1442.52,2022
2022-11-02,1540.46,0,1540.46,1540.46,2022
2022-11-03,1605.78,0,1605.78,1605.78,2022
2022-11-04,1639.62,0,1639.62,1639.62,2022
2022-11-05,1801.65,0,1801.65,1801.65,2022
2022-11-06,1537.51,0,1537.51,1537.51,2022
2022-11-07,1350.78,0,1350.78,1350.78,2022
2022-11-08,1503.47,0,1503.47,1503.47,2022
2022-11-09,1457.77,0,1457.77,1457.77,2022
2022-11-10,1491.33,0,1491.33,1491.33,2022
2022-11-11,1575.39,0,1575.39,1575.39,2022
2022-11-12,1619.38,0,1619.38,1619.38,2022
2022-11-13,1460.42,0,1460.42,1460.42,2022
2022-11-14,1347.94,0,1347.94,1347.94,2022
2022-11-15,1516.8,0,1516.8,1516.8,2022
2022-11-16,1501.5,0,1501.5,1501.5,2022
2022-11-17,1501.15,0,1501.15,1501.15,2022
2022-11-18,1519.49,0,1519.49,1519.49,2022
2022-11-19,1115.75,0,1115.75,1115.75,2022
2022-11-20,1369.14,0,1369.14,1369.14,2022
2022-11-21,1222.24,0,1222.24,1222.24,2022
2022-11-22,1637.18,0,1637.18,1637.18,2022
2022-11-23,1198.24,0,1198.24,1198.24,2022
2022-11-24,1278.88,0,1278.88,1278.88,2022
2022-11-25,1222.86,0,1222.86,1222.86,2022
2022-11-26,1655.13,0,1655.13,1655.13,2022
2022-11-27,1287.6,0,1287.6,1287.6,2022
2022-11-28,1539.32,0,1539.32,1539.32,2022
2022-11-29,1546.87,0,1546.87,1546.87,2022
2022-11-30,1613.92,0,1613.92,1613.92,2022
2022-12-01,1408.28,0,1408.28,1408.28,2022
2022-12-02,1453.61,0,1453.61,1453.61,2022
2022-12-03,1187.49,0,1187.49,1187.49,2022
2022-12-04,1250.35,0,1250.35,1250.35,2022
2022-12-05,1546.8,0,1546.8,1546.8,2022
2022-12-06,1549.38,0,1549.38,1549.38,2022
2022-12-07,1220.29,0,1220.29,1220.29,2022
2022-12-08,1108.96,0,1108.96,1108.96,2022
2022-12-09,1385.76,0,1385.76,1385.76,2022
2022-12-10,1205.02,0,1205.02,1205.02,2022
